participant,condition,condition_name,epoch,Pz,Fz,Cz
1,1,condition_1,1,1.3866130556123006,-0.18477367757804974,-0.528231124610955
2,1,condition_1,1,1.1277269819676896,0.7917296291486465,1.6835021806897186
3,1,condition_1,1,3.815687998147208,-0.17686643472703906,0.4035773134421973
4,1,condition_1,1,1.6933637930681835,-3.0717572635949084,-4.0745862844563945
5,1,condition_1,1,-1.5334480798379702,-0.018068390975087834,-3.21842398512872
6,1,condition_1,1,2.3312246011503723,0.7614872557147472,1.8558820525964237
7,1,condition_1,1,-1.7446291998609569,-0.5521503328937419,-3.520015148543141
8,1,condition_1,1,-0.07189231097935322,-0.1328626459782507,-2.748176476892969
9,1,condition_1,1,-1.9520371502786695,1.1583747404332514,-1.0896592009014028
10,1,condition_1,1,2.1829046050285683,1.2470139734348789,-0.1454542707884567
11,1,condition_1,1,1.5575854813567884,0.3387593354134738,0.5031496670082847
12,1,condition_1,1,-0.7741817878980604,-1.616539562222484,-3.0116932398554273
13,1,condition_1,3,2.634206391290453,-1.010885934722916,-1.4552108907420105
14,1,condition_1,1,4.613738626790964,1.2208191619503497,1.9401863392974985
15,1,condition_1,1,-2.412935913453914,2.1951452260761197,-2.5600025793284527
16,1,condition_1,1,0.9661328946932982,-0.536000273849363,-0.9600542523609485
