label,inc,azi
GND,90.0,90.0
REF,23.0,90.0
Fp1,-90.0,-72.0
Fz,45.0,90.0
F3,-60.0,-51.0
F7,-90.0,-36.0
F9,-113.0,-36.0
FC5,-69.0,-21.0
FC1,-31.0,-46.0
C3,-45.0,0.0
T7,-90.0,0.0
CP5,-69.0,21.0
CP1,-31.0,46.0
Pz,45.0,-90.0
P3,-60.0,51.0
P7,-90.0,36.0
P9,-113.0,36.0
O1,-90.0,72.0
ECG,-151.0,50.0
O2,90.0,-72.0
P10,113.0,-36.0
P8,90.0,-36.0
P4,60.0,-51.0
CP2,31.0,-46.0
CP6,69.0,-21.0
T8,90.0,0.0
C4,45.0,0.0
Cz,0.0,0.0
FC2,31.0,46.0
FC6,69.0,21.0
F10,113.0,36.0
F8,90.0,36.0
F4,60.0,51.0
Fp2,90.0,72.0
